ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
198,1035,213610,6212,213610
199,1037,214610,6212,214610
200,1045,215090,6212,215090
201,1047,215410,6212,215410
202,1051,216410,6212,216410
203,1053,217410,6212,217410
204,1061,218410,6212,218410
205,1069,219410,6212,219410
206,1077,220410,6212,220410
207,1085,221410,6212,221410
208,1089,221410,6212,221410
209,1091,222410,6212,222410
210,1093,223060,6212,223060
211,1101,231060,6212,231060
212,1103,231870,6212,231870
213,1105,232340,6212,232340
214,1107,232340,6212,232340
214,1107,233340,6212,233340
214,1107,234340,6212,234340
215,1109,235150,6212,235150
215,1109,235620,6212,235620
216,1117,236620,6212,236620
217,1119,237620,6212,237620
218,1127,238620,6212,238620
219,1135,239430,6212,239430
220,1137,240430,6212,240430
220,1137,241430,6212,241430
221,1139,242430,6212,242430
221,1139,242430,6212,242430
222,1141,242900,6212,242900
223,1149,243550,6212,243550
224,1157,243780,6212,243780
225,1165,244590,6212,244590
226,1173,252590,6212,252590
226,1173,253060,6212,253060
227,1181,253870,6212,253870
228,1183,254340,6212,254340
229,1191,254800,6212,254800
230,1199,254800,6212,254800
231,1207,255120,6212,255120
232,1215,255930,6212,255930
233,1217,256740,6212,256740
234,1219,257550,6212,257550
235,1221,258360,6212,258360
236,1229,259360,6212,259360
237,1233,260360,6212,260360
238,1235,260360,6212,260360
239,1237,261360,6212,261360
240,1245,262170,6212,262170
241,1253,262980,6212,262980
242,1261,263980,6212,263980
243,1263,264300,6212,264300
244,1265,264950,6212,264950
245,1273,265170,6212,265170
246,1281,265330,6212,265330
246,1281,265330,6212,265330
247,1283,265330,6212,265330
248,1284,266140,6212,266140
248,1284,266950,6212,266950
249,1292,267110,6212,267110
250,1300,267920,6212,267920
251,1308,268390,6212,268390
252,1310,269390,6212,269390
253,1318,269390,6212,269390
254,1326,270390,6212,270390
254,1326,271200,6212,271200
255,1334,272200,6212,272200
256,1336,274200,6212,274200
257,1344,275200,6212,275200
258,1352,276200,6212,276200
258,1352,276430,6212,276430
259,1354,277430,6212,277430
259,1354,279430,6212,279430
260,1356,279430,6212,279430
261,1358,280430,6212,280430
262,1360,281430,6212,281430
263,1368,282430,6212,282430
264,1376,282430,6212,282430
265,1378,282900,6212,282900
266,1386,283900,6212,283900
266,1386,284710,6212,284710
266,1386,288710,6212,288710
267,1394,289710,6212,289710
268,1402,290300,6212,290300
268,1402,290620,6212,290620
269,1404,291620,6212,291620
270,1412,292620,6212,292620
270,1412,292840,6212,292840
271,1414,294840,6212,294840
271,1414,295490,6212,295490
272,1416,295810,6212,295810
273,1424,296460,6212,296460
274,1432,296690,6212,296690
275,1434,297500,6212,297500
276,1442,297500,6212,297500
277,1450,298500,6212,298500
278,1458,298970,6212,298970
279,1466,298970,6212,298970
280,1468,299780,6212,299780
281,1476,300250,6212,300250
282,1484,301250,6212,301250
283,1492,302060,6212,302060
284,1493,303060,6212,303060
285,1501,303710,6212,303710
286,1503,304520,6212,304520
287,1511,305330,6212,305330
288,1519,306330,6212,306330
289,1521,306980,6212,306980
290,1523,307630,6212,307630
291,1531,308630,6212,308630
292,1539,309630,6212,309630
293,1547,310280,6212,310280
294,1549,311280,6212,311280
294,1549,311280,6212,311280
295,1557,312090,6212,312090
296,1565,313090,6212,313090
297,1567,314090,6212,314090
297,1567,314090,6212,314090
298,1575,315090,6212,315090
298,1575,315410,6212,315410
299,1583,316410,6212,316410
300,1591,316410,6212,316410
301,1593,317220,6212,317220
302,1595,317220,6212,317220
303,1597,318220,6212,318220
304,1599,319220,6212,319220
305,1601,319690,6212,319690
305,1601,320690,6212,320690
306,1603,320920,6212,320920
307,1611,320920,6212,320920
308,1613,321240,6212,321240
309,1621,321710,6212,321710
309,1621,322030,6212,322030
310,1629,323030,6212,323030
311,1637,323840,6212,323840
312,1645,324840,6212,324840
312,1645,325840,6212,325840
313,1647,325840,6212,325840
314,1655,326840,6212,326840
315,1657,327310,6212,327310
315,1657,327680,6212,327680
316,1665,328150,6212,328150
317,1673,328380,6212,328380
318,1681,329380,6212,329380
319,1689,330380,6212,330380
320,1697,330600,6212,330600
321,1699,330600,6212,330600
322,1707,331600,6212,331600
323,1709,332600,6212,332600
324,1717,333600,6212,333600
325,1721,333920,6212,333920
326,1723,333920,6212,333920
327,1731,334920,6212,334920
327,1731,334920,6212,334920
328,1739,335920,6212,335920
329,1741,336390,6212,336390
330,1749,336710,6212,336710
331,1757,337030,6212,337030
332,1765,338030,6212,338030
333,1773,338500,6212,338500
333,1773,338970,6212,338970
334,1775,339970,6212,339970
335,1783,340970,6212,340970
335,1783,340970,6212,340970
335,1783,341440,6212,341440
336,1791,349440,6212,349440
336,1791,350250,6212,350250
337,1799,358250,6212,358250
338,1801,359060,6212,359060
339,1803,360060,6212,360060
339,1803,360870,6212,360870
