ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
875888.81,14.4,1.05,342486.95,5.63
875740.34,14.4,1.05,342373.84,5.63
875712.16,14.4,1.06,342356.86,5.63
876919.89,14.42,1.08,343210.31,5.64
877325.55,14.43,1.08,343232.55,5.64
877731.2,14.43,1.09,343255.89,5.64
877703.02,14.44,1.09,343248.63,5.65
877760.64,14.44,1.09,343220.81,5.65
878059.33,14.44,1.1,343224.14,5.65
878031.15,14.45,1.1,343210.77,5.65
878475.61,14.45,1.11,343245.45,5.65
877408.13,14.46,1.11,343027.67,5.65
876340.65,14.46,1.11,342809.9,5.66
877140.62,14.47,1.13,342944.48,5.66
876992.15,14.47,1.13,342845.91,5.66
876963.97,14.47,1.13,342830.0,5.66
876935.79,14.47,1.13,342837.53,5.66
877310.94,14.48,1.14,342246.45,5.65
877162.47,14.48,1.14,342151.42,5.65
877568.12,14.49,1.15,342174.76,5.65
877608.35,14.49,1.15,341997.03,5.65
877311.41,14.49,1.15,341868.89,5.65
877596.77,14.5,1.15,341956.17,5.65
877448.3,14.5,1.15,341883.72,5.65
877420.12,14.5,1.16,341876.47,5.65
877460.36,14.5,1.16,341956.58,5.65
877500.59,14.5,1.16,342032.45,5.65
877472.41,14.51,1.16,342047.41,5.65
877323.94,14.51,1.16,341927.19,5.65
877484.47,14.51,1.17,341965.0,5.66
877836.86,14.52,1.17,341945.85,5.66
877688.39,14.52,1.17,341903.19,5.66
877688.39,14.52,1.17,341815.29,5.65
877791.3,14.52,1.18,341803.97,5.65
878205.14,14.53,1.19,341798.64,5.65
878056.66,14.53,1.19,341755.75,5.66
878217.19,14.53,1.19,341793.56,5.66
878395.59,14.54,1.2,341695.06,5.66
878672.76,14.54,1.2,341913.87,5.66
878524.29,14.54,1.2,341801.46,5.66
878968.74,14.55,1.21,341836.14,5.66
878940.56,14.55,1.21,341799.48,5.66
878912.39,14.56,1.21,341762.82,5.66
878763.92,14.56,1.21,341074.37,5.65
878812.87,14.56,1.22,340638.7,5.64
878784.69,14.56,1.22,340602.04,5.64
878824.92,14.56,1.22,340682.15,5.65
879208.85,14.57,1.23,340582.34,5.64
879249.09,14.57,1.23,340658.21,5.65
879654.74,14.58,1.24,340681.56,5.65
879626.56,14.58,1.24,340674.3,5.65
879598.38,14.58,1.24,340681.83,5.65
879570.21,14.59,1.24,340706.82,5.65
879883.32,14.59,1.25,340505.78,5.65
879883.32,14.59,1.25,340407.71,5.65
879855.14,14.6,1.25,340425.28,5.65
879855.14,14.6,1.25,340341.56,5.65
879912.76,14.6,1.25,340313.74,5.65
880144.87,14.6,1.26,340206.79,5.64
880116.69,14.6,1.26,340232.36,5.65
880522.34,14.61,1.27,340254.59,5.65
880494.16,14.61,1.27,340280.16,5.65
879426.69,14.62,1.27,340062.38,5.65
879801.84,14.62,1.28,340417.24,5.66
880114.95,14.63,1.29,340216.2,5.66
880155.18,14.63,1.29,339828.14,5.65
880155.18,14.63,1.29,339732.61,5.65
880127.01,14.64,1.29,339725.35,5.65
879830.06,14.64,1.29,339597.2,5.65
880235.72,14.64,1.3,339620.55,5.65
880396.24,14.65,1.3,339658.36,5.65
880960.99,14.66,1.31,339662.92,5.65
881067.22,14.66,1.32,339656.15,5.65
880918.75,14.66,1.32,339629.61,5.65
880770.28,14.66,1.32,339518.03,5.65
881175.94,14.67,1.32,339541.38,5.65
881216.17,14.67,1.33,339621.49,5.65
881067.7,14.67,1.33,339508.38,5.65
881107.93,14.67,1.33,339588.49,5.66
881079.75,14.68,1.33,339540.5,5.66
880931.28,14.67,1.33,339420.2,5.65
880534.64,14.67,1.33,339380.49,5.65
880820.0,14.68,1.33,339452.65,5.66
880940.29,14.68,1.34,339490.97,5.66
881225.65,14.68,1.34,339926.78,5.66
881197.48,14.69,1.34,339952.35,5.67
881237.71,14.69,1.35,339842.09,5.66
881286.66,14.69,1.35,339406.42,5.66
881138.19,14.69,1.35,339379.89,5.66
881535.66,14.7,1.36,339482.87,5.66
881910.8,14.71,1.36,339750.15,5.67
881794.18,14.71,1.36,339795.6,5.67
881645.71,14.71,1.36,339682.49,5.67
881617.53,14.71,1.37,339645.83,5.67
881589.35,14.71,1.37,339671.39,5.67
881561.17,14.71,1.37,339686.35,5.67
881532.99,14.72,1.37,339657.21,5.67
881704.34,14.72,1.37,340109.27,5.68
881555.86,14.72,1.37,339996.34,5.68
882217.74,14.73,1.39,340081.12,5.68
881150.26,14.73,1.39,339863.34,5.68
881190.49,14.74,1.39,339943.46,5.68
881475.85,14.74,1.4,340030.74,5.69
881475.85,14.74,1.4,339947.01,5.69
881327.38,14.74,1.4,339826.71,5.68
881178.91,14.74,1.4,339736.7,5.68
881219.14,14.74,1.4,339816.81,5.69
882735.95,14.77,1.43,340355.75,5.7
882707.77,14.77,1.43,340370.71,5.7
883039.59,14.78,1.44,340131.43,5.69
883011.41,14.78,1.44,340112.33,5.69
883171.93,14.79,1.44,340150.14,5.7
883023.46,14.79,1.44,340038.28,5.69
882874.99,14.79,1.44,339933.64,5.69
882726.52,14.79,1.44,339890.98,5.69
882726.52,14.79,1.44,339810.46,5.69
883011.88,14.79,1.45,339897.74,5.69
883310.57,14.8,1.46,339901.07,5.69
883875.32,14.81,1.47,339905.63,5.7
884035.84,14.81,1.47,339943.44,5.7
882968.37,14.82,1.47,339735.71,5.7
883253.73,14.82,1.48,340344.81,5.71
883414.25,14.83,1.48,340382.62,5.71
883699.61,14.83,1.49,340469.91,5.71
884113.45,14.84,1.5,340464.58,5.72
884233.74,14.84,1.5,340502.9,5.72
884729.18,14.85,1.51,340501.28,5.72
884889.71,14.86,1.51,340539.09,5.72
884929.94,14.86,1.52,340619.21,5.72
884978.89,14.86,1.52,340183.54,5.71
885019.13,14.87,1.52,340263.65,5.72
884990.95,14.87,1.52,340289.22,5.72
884842.48,14.87,1.52,340227.62,5.72
884842.48,14.87,1.52,340139.72,5.72
884694.01,14.87,1.52,340113.19,5.72
884854.53,14.87,1.53,340151.0,5.72
