order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
0,openb_pod_list_default,01-Random,1.3,42,464,3150,1,810,<none>
1,openb_pod_list_default,01-Random,1.3,42,404,11300,1,1000,<none>
2,openb_pod_list_default,01-Random,1.3,42,282,11400,1,1000,<none>
3,openb_pod_list_default,01-Random,1.3,42,208,3150,1,1000,<none>
4,openb_pod_list_default,01-Random,1.3,42,141,12000,1,1000,<none>
5,openb_pod_list_default,01-Random,1.3,42,123,18710,1,1000,<none>
6,openb_pod_list_default,01-Random,1.3,42,123,11910,1,470,<none>
7,openb_pod_list_default,01-Random,1.3,42,114,8000,1,470,<none>
8,openb_pod_list_default,01-Random,1.3,42,90,9810,1,1000,<none>
9,openb_pod_list_default,01-Random,1.3,42,87,11910,1,650,<none>
10,openb_pod_list_default,01-Random,1.3,42,85,15700,1,1000,<none>
11,openb_pod_list_default,01-Random,1.3,42,75,11910,1,1000,<none>
12,openb_pod_list_default,01-Random,1.3,42,72,8000,1,1000,<none>
13,openb_pod_list_default,01-Random,1.3,42,71,4000,1,1000,<none>
14,openb_pod_list_default,01-Random,1.3,42,61,16000,1,1000,<none>
15,openb_pod_list_default,01-Random,1.3,42,44,14200,1,1000,<none>
16,openb_pod_list_default,01-Random,1.3,42,40,24200,1,1000,<none>
17,openb_pod_list_default,01-Random,1.3,42,38,6000,1,460,<none>
18,openb_pod_list_default,01-Random,1.3,42,23,11900,1,1000,<none>
19,openb_pod_list_default,01-Random,1.3,42,23,4000,1,320,<none>
20,openb_pod_list_default,01-Random,1.3,42,18,4150,1,550,<none>
21,openb_pod_list_default,01-Random,1.3,42,17,15200,1,1000,<none>
22,openb_pod_list_default,01-Random,1.3,42,15,4150,1,810,<none>
23,openb_pod_list_default,01-Random,1.3,42,13,88000,8,1000,<none>
24,openb_pod_list_default,01-Random,1.3,42,13,16400,1,1000,<none>
25,openb_pod_list_default,01-Random,1.3,42,13,8200,1,1000,<none>
26,openb_pod_list_default,01-Random,1.3,42,12,64200,8,1000,<none>
27,openb_pod_list_default,01-Random,1.3,42,7,8000,1,650,<none>
28,openb_pod_list_default,01-Random,1.3,42,7,8000,1,320,<none>
29,openb_pod_list_default,01-Random,1.3,42,6,14900,1,1000,<none>
30,openb_pod_list_default,01-Random,1.3,42,5,3150,1,590,<none>
31,openb_pod_list_default,01-Random,1.3,42,5,4150,1,370,<none>
32,openb_pod_list_default,01-Random,1.3,42,4,9400,1,1000,<none>
33,openb_pod_list_default,01-Random,1.3,42,3,32200,4,1000,<none>
34,openb_pod_list_default,01-Random,1.3,42,3,6000,1,1000,<none>
35,openb_pod_list_default,01-Random,1.3,42,2,120000,8,1000,<none>
36,openb_pod_list_default,01-Random,1.3,42,2,16200,2,1000,<none>
37,openb_pod_list_default,01-Random,1.3,42,2,15400,1,1000,<none>
38,openb_pod_list_default,01-Random,1.3,42,2,17400,2,1000,<none>
39,openb_pod_list_default,01-Random,1.3,42,2,6000,2,1000,<none>
40,openb_pod_list_default,01-Random,1.3,42,2,60200,4,1000,<none>
41,openb_pod_list_default,01-Random,1.3,42,2,12000,1,460,<none>
42,openb_pod_list_default,01-Random,1.3,42,2,32000,4,1000,<none>
43,openb_pod_list_default,01-Random,1.3,42,1,15900,1,1000,<none>
44,openb_pod_list_default,01-Random,1.3,42,1,7000,1,1000,<none>
45,openb_pod_list_default,01-Random,1.3,42,1,4000,1,650,<none>
46,openb_pod_list_default,01-Random,1.3,42,1,8000,1,480,<none>
47,openb_pod_list_default,01-Random,1.3,42,1,8000,1,440,<none>
48,openb_pod_list_default,01-Random,1.3,42,1,4000,1,350,<none>
0,openb_pod_list_default,01-Random,1.3,43,423,3150,1,810,<none>
1,openb_pod_list_default,01-Random,1.3,43,390,11300,1,1000,<none>
2,openb_pod_list_default,01-Random,1.3,43,291,11400,1,1000,<none>
