ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
363421.92,5.95,0.78,158603.24,2.6
363890.54,5.96,0.79,158519.21,2.6
364359.17,5.97,0.79,158435.17,2.59
364359.17,5.97,0.79,158435.17,2.59
364322.46,5.97,0.79,158401.87,2.59
364322.46,5.97,0.79,158401.87,2.59
363823.66,5.96,0.79,157903.06,2.59
364313.2,5.97,0.8,157826.67,2.59
363835.31,5.96,0.79,157285.09,2.58
364821.07,5.98,0.81,157727.18,2.58
365289.7,5.99,0.81,157643.15,2.58
365758.32,5.99,0.82,157559.12,2.58
366247.86,6.0,0.83,157432.32,2.58
366716.49,6.01,0.84,157348.28,2.58
366149.79,6.0,0.83,156784.98,2.57
366149.79,6.0,0.83,156784.98,2.57
365991.24,6.0,0.83,156626.43,2.57
366356.98,6.01,0.84,157007.3,2.57
365879.09,6.0,0.83,156465.73,2.57
365879.09,6.0,0.83,156465.73,2.57
366368.63,6.01,0.84,156389.33,2.57
366368.63,6.01,0.84,156295.65,2.56
365679.82,6.0,0.83,155556.43,2.55
366480.56,6.01,0.84,155740.82,2.56
366311.11,6.01,0.84,155545.05,2.55
365643.22,6.0,0.83,154813.47,2.54
365643.22,6.0,0.83,154813.47,2.54
366094.88,6.01,0.84,154648.8,2.54
365616.99,6.0,0.83,154107.22,2.53
366085.62,6.01,0.84,154023.19,2.53
366886.35,6.03,0.85,154207.58,2.53
366668.46,6.02,0.85,153926.0,2.53
366726.4,6.02,0.85,154220.93,2.53
366565.01,6.02,0.85,153906.04,2.53
366347.12,6.02,0.85,153624.46,2.52
367332.88,6.04,0.86,154066.55,2.53
367296.18,6.04,0.86,153903.98,2.53
368096.91,6.05,0.88,154088.37,2.53
367985.98,6.05,0.88,153977.44,2.53
368786.72,6.06,0.89,154161.83,2.53
368372.92,6.06,0.89,154161.83,2.54
368454.12,6.07,0.89,154243.03,2.54
368922.74,6.07,0.9,154158.99,2.54
368871.02,6.07,0.9,154054.35,2.54
369470.23,6.08,0.91,154696.27,2.55
369551.42,6.09,0.91,154727.06,2.55
368984.71,6.08,0.91,154034.49,2.54
372777.82,6.14,0.97,157307.11,2.59
372109.93,6.13,0.96,156575.54,2.58
372561.59,6.14,0.97,156410.86,2.58
373030.22,6.15,0.97,156326.83,2.58
374776.12,6.18,1.0,157925.5,2.6
375265.66,6.19,1.01,157849.11,2.6
375734.29,6.2,1.02,157765.08,2.6
375825.48,6.2,1.02,157805.86,2.6
376277.15,6.21,1.03,157641.19,2.6
376745.78,6.21,1.04,157557.15,2.6
380538.88,6.28,1.1,160829.78,2.65
380390.99,6.27,1.1,160618.2,2.65
379913.1,6.27,1.1,160076.63,2.64
380381.72,6.28,1.1,159992.59,2.64
379903.83,6.27,1.1,159451.02,2.63
380704.57,6.28,1.11,159635.41,2.63
382055.33,6.31,1.13,160612.33,2.65
382856.07,6.32,1.15,160796.72,2.65
383324.69,6.33,1.16,160712.69,2.65
384675.46,6.35,1.18,161689.61,2.67
384864.52,6.35,1.18,161878.68,2.67
385850.28,6.37,1.2,162320.77,2.68
386318.91,6.38,1.21,162236.74,2.68
385841.02,6.37,1.2,161695.16,2.67
386330.56,6.38,1.21,161618.77,2.67
386172.01,6.38,1.21,161460.22,2.67
387157.77,6.4,1.22,161902.31,2.67
387626.4,6.41,1.23,161818.28,2.67
388612.16,6.42,1.25,162260.37,2.68
389063.83,6.43,1.26,162095.69,2.68
388481.04,6.42,1.25,161512.9,2.67
388444.33,6.42,1.25,161350.33,2.67
390190.23,6.45,1.28,162949.01,2.69
389712.34,6.44,1.27,162407.43,2.69
389044.45,6.43,1.26,161675.85,2.67
389845.19,6.45,1.28,161860.25,2.68
390334.73,6.46,1.29,161783.85,2.68
390786.39,6.47,1.29,161619.18,2.67
390287.59,6.46,1.29,161069.96,2.67
389809.7,6.45,1.28,160528.39,2.66
390278.32,6.46,1.29,160444.35,2.66
389779.52,6.45,1.28,159895.14,2.65
389111.62,6.44,1.27,159163.56,2.64
389580.25,6.45,1.28,159079.53,2.63
389592.36,6.45,1.28,159027.95,2.63
390060.99,6.46,1.29,158943.92,2.63
390550.53,6.47,1.3,158867.53,2.63
391019.15,6.48,1.31,158783.5,2.63
390541.26,6.47,1.3,158241.92,2.62
391009.89,6.48,1.31,158157.89,2.62
391810.62,6.5,1.32,158342.28,2.63
392279.25,6.5,1.33,158258.25,2.62
392747.88,6.51,1.34,158174.22,2.62
393237.42,6.52,1.35,158097.82,2.62
393318.61,6.52,1.35,158128.61,2.62
392629.8,6.51,1.34,157389.39,2.61
393980.57,6.54,1.36,158366.31,2.63
394470.11,6.55,1.37,158239.51,2.63
394938.74,6.55,1.38,158155.48,2.62
395407.36,6.56,1.39,158071.45,2.62
394929.47,6.56,1.38,157529.87,2.62
395398.1,6.57,1.39,157445.84,2.61
395410.2,6.57,1.39,157394.26,2.61
395276.8,6.56,1.39,157123.47,2.61
395143.39,6.56,1.39,156852.67,2.61
394665.5,6.56,1.38,156311.1,2.6
396181.32,6.58,1.41,156521.38,2.6
396129.6,6.58,1.41,156407.72,2.6
395461.71,6.57,1.4,155676.14,2.59
397327.54,6.6,1.43,156236.43,2.6
399373.36,6.64,1.47,156976.71,2.61
398684.56,6.63,1.46,156287.9,2.6
399055.28,6.64,1.46,156730.18,2.61
399055.28,6.64,1.46,156730.18,2.61
399332.55,6.64,1.47,157792.52,2.62
400848.38,6.67,1.49,158002.8,2.63
400940.38,6.67,1.5,158229.17,2.63
401943.35,6.69,1.52,158577.29,2.64
401465.46,6.68,1.51,158035.71,2.63
401477.57,6.68,1.51,157984.14,2.63
400809.67,6.67,1.5,157252.56,2.62
400809.67,6.67,1.5,157252.56,2.62
400901.67,6.67,1.5,157471.75,2.62
401938.56,6.69,1.52,157860.97,2.63
402030.56,6.69,1.52,158087.34,2.63
402059.63,6.7,1.52,158116.41,2.63
401408.7,6.69,1.51,157465.48,2.62
402411.66,6.7,1.53,157813.6,2.63
402049.22,6.7,1.53,157431.32,2.62
402049.22,6.7,1.53,157431.32,2.62
402078.29,6.7,1.53,157460.38,2.62
403830.69,6.73,1.56,159159.61,2.65
403179.76,6.72,1.55,158508.67,2.64
402703.26,6.71,1.54,158005.11,2.63
402226.76,6.71,1.53,157501.55,2.63
402175.04,6.71,1.53,157387.9,2.62
402175.04,6.71,1.53,157387.9,2.62
402545.75,6.71,1.54,157830.93,2.63
402818.16,6.72,1.55,157894.27,2.63
402766.44,6.72,1.55,158042.9,2.64
402879.94,6.72,1.55,158129.33,2.64
402828.21,6.72,1.55,158015.68,2.64
402776.49,6.72,1.55,158015.68,2.64
402724.76,6.72,1.55,158012.24,2.64
402362.32,6.72,1.54,157629.21,2.63
401897.3,6.71,1.54,157091.51,2.62
401788.75,6.71,1.53,156982.96,2.62
401737.02,6.71,1.53,156872.74,2.62
401271.99,6.7,1.53,156335.04,2.61
400616.97,6.69,1.52,155607.34,2.6
400616.97,6.69,1.52,155607.34,2.6
400600.86,6.69,1.52,155713.36,2.6
401994.98,6.72,1.54,156287.63,2.61
401978.87,6.72,1.54,156237.73,2.61
401513.85,6.71,1.54,155700.03,2.6
401410.4,6.71,1.54,155586.38,2.6
402341.43,6.73,1.55,156010.09,2.61
402325.32,6.73,1.55,156239.46,2.61
403256.36,6.74,1.57,156619.59,2.62
403348.36,6.75,1.57,156729.27,2.62
403473.33,6.75,1.58,156781.57,2.62
405003.06,6.78,1.6,157634.28,2.64
404986.95,6.78,1.6,157863.65,2.64
404986.95,6.78,1.6,157863.65,2.64
405011.93,6.78,1.6,157815.95,2.64
404356.9,6.77,1.59,157088.25,2.63
