ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
134,274,172040,6212,172040
134,274,173040,6212,173040
135,276,174040,6212,174040
135,276,174360,6212,174360
136,278,175360,6212,175360
137,280,176360,6212,176360
138,282,177360,6212,177360
138,282,178170,6212,178170
139,284,179170,6212,179170
140,286,180170,6212,180170
141,288,181170,6212,181170
142,290,182170,6212,182170
143,292,183170,6212,183170
143,292,183400,6212,183400
143,292,184400,6212,184400
144,294,184400,6212,184400
145,296,185400,6212,185400
146,298,186400,6212,186400
147,300,187400,6212,187400
147,300,188210,6212,188210
148,302,189210,6212,189210
148,302,189530,6212,189530
149,304,190530,6212,190530
150,306,191530,6212,191530
150,306,192340,6212,192340
150,306,193340,6212,193340
151,308,194340,6212,194340
151,308,195340,6212,195340
151,308,195990,6212,195990
151,308,196460,6212,196460
151,308,197460,6212,197460
151,308,197930,6212,197930
151,308,197930,6212,197930
152,312,198930,6212,198930
152,312,199930,6212,199930
153,316,200930,6212,200930
153,316,201930,6212,201930
153,316,202740,6212,202740
153,316,203060,6212,203060
153,316,204060,6212,204060
153,316,204060,6212,204060
154,320,205060,6212,205060
154,320,206060,6212,206060
155,324,207060,6212,207060
155,324,207380,6212,207380
155,324,208380,6212,208380
155,324,209380,6212,209380
155,324,209850,6212,209850
155,324,209850,6212,209850
155,324,210170,6212,210170
155,324,211170,6212,211170
155,324,212170,6212,212170
155,324,212980,6212,212980
155,324,213790,6212,213790
156,326,214790,6212,214790
156,326,214790,6212,214790
156,326,215260,6212,215260
157,328,215910,6212,215910
157,328,216910,6212,216910
157,328,217130,6212,217130
158,330,218130,6212,218130
158,330,219130,6212,219130
159,332,220130,6212,220130
159,332,220600,6212,220600
159,332,221410,6212,221410
159,332,221520,6212,221520
159,332,222520,6212,222520
159,332,223330,6212,223330
159,332,224330,6212,224330
159,332,224330,6212,224330
160,336,225330,6212,225330
160,336,225800,6212,225800
161,340,226800,6212,226800
161,340,227610,6212,227610
162,342,229610,6212,229610
162,342,230610,6212,230610
163,346,231610,6212,231610
163,346,232610,6212,232610
164,350,233610,6212,233610
164,350,233830,6212,233830
164,350,234300,6212,234300
165,354,235300,6212,235300
165,354,235300,6212,235300
165,354,235620,6212,235620
165,354,236620,6212,236620
165,354,237620,6212,237620
165,354,238090,6212,238090
165,354,238090,6212,238090
165,354,239090,6212,239090
166,356,239740,6212,239740
166,356,240740,6212,240740
166,356,241210,6212,241210
166,356,241680,6212,241680
167,358,242680,6212,242680
167,358,243680,6212,243680
168,360,244680,6212,244680
168,360,245680,6212,245680
169,364,246680,6212,246680
169,364,247680,6212,247680
170,368,248680,6212,248680
170,368,249680,6212,249680
170,368,250680,6212,250680
170,368,250910,6212,250910
170,368,250910,6212,250910
171,370,251910,6212,251910
171,370,252230,6212,252230
171,370,253230,6212,253230
171,370,253880,6212,253880
171,370,253880,6212,253880
172,372,254880,6212,254880
172,372,255200,6212,255200
172,372,256200,6212,256200
173,374,256850,6212,256850
173,374,257850,6212,257850
173,374,258850,6212,258850
173,374,259320,6212,259320
174,376,260320,6212,260320
174,376,261320,6212,261320
175,380,262320,6212,262320
175,380,262790,6212,262790
175,380,263440,6212,263440
176,384,264440,6212,264440
176,384,265440,6212,265440
176,384,266440,6212,266440
176,384,267440,6212,267440
176,384,268440,6212,268440
177,388,268910,6212,268910
177,388,269720,6212,269720
177,388,270190,6212,270190
