ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
201,1034,168130,6212,168130
201,1034,168130,6212,168130
202,1042,168360,6212,168360
203,1044,169010,6212,169010
204,1046,169330,6212,169330
205,1054,170330,6212,170330
206,1062,170330,6212,170330
207,1070,170790,6212,170790
208,1072,171790,6212,171790
209,1074,172790,6212,172790
210,1082,173790,6212,173790
210,1082,174790,6212,174790
211,1084,175790,6212,175790
212,1092,176600,6212,176600
213,1094,177600,6212,177600
214,1096,178410,6212,178410
215,1104,179410,6212,179410
216,1112,179880,6212,179880
217,1120,180880,6212,180880
218,1122,181350,6212,181350
219,1124,182350,6212,182350
220,1132,183000,6212,183000
221,1134,184000,6212,184000
221,1134,184810,6212,184810
222,1136,185810,6212,185810
223,1144,186810,6212,186810
223,1144,186970,6212,186970
224,1152,187970,6212,187970
225,1154,188780,6212,188780
226,1162,189010,6212,189010
227,1170,189330,6212,189330
228,1178,190330,6212,190330
229,1180,190880,6212,190880
230,1182,191880,6212,191880
230,1182,192690,6212,192690
231,1190,193500,6212,193500
232,1198,193970,6212,193970
233,1200,194970,6212,194970
234,1202,195970,6212,195970
234,1202,196970,6212,196970
235,1210,197970,6212,197970
236,1218,198970,6212,198970
237,1222,199970,6212,199970
238,1224,200970,6212,200970
238,1224,201440,6212,201440
239,1226,202440,6212,202440
240,1234,202440,6212,202440
241,1242,203090,6212,203090
241,1242,204090,6212,204090
241,1242,205090,6212,205090
242,1246,205640,6212,205640
243,1250,206450,6212,206450
243,1250,207450,6212,207450
244,1258,208450,6212,208450
244,1258,209450,6212,209450
245,1266,210450,6212,210450
245,1266,211450,6212,211450
245,1266,211590,6212,211590
246,1274,212590,6212,212590
247,1276,213590,6212,213590
248,1284,214590,6212,214590
248,1284,215590,6212,215590
249,1292,216590,6212,216590
250,1296,217060,6212,217060
251,1304,218060,6212,218060
252,1306,219060,6212,219060
253,1314,223060,6212,223060
254,1322,224060,6212,224060
255,1324,224650,6212,224650
256,1326,225650,6212,225650
257,1328,225810,6212,225810
258,1330,226130,6212,226130
258,1330,226290,6212,226290
259,1338,227290,6212,227290
259,1338,228290,6212,228290
260,1346,229290,6212,229290
260,1346,230290,6212,230290
261,1354,230760,6212,230760
262,1362,231410,6212,231410
263,1364,232410,6212,232410
264,1372,232880,6212,232880
265,1374,233880,6212,233880
266,1376,234880,6212,234880
267,1378,235880,6212,235880
268,1380,236880,6212,236880
269,1382,237880,6212,237880
270,1384,238880,6212,238880
271,1386,239880,6212,239880
272,1394,240200,6212,240200
272,1394,241200,6212,241200
273,1402,242010,6212,242010
273,1402,242820,6212,242820
274,1410,243290,6212,243290
275,1412,244100,6212,244100
276,1420,244570,6212,244570
277,1428,244890,6212,244890
278,1430,245700,6212,245700
279,1432,246700,6212,246700
280,1436,247290,6212,247290
281,1444,248290,6212,248290
282,1446,249290,6212,249290
282,1446,250100,6212,250100
283,1448,251100,6212,251100
284,1452,252100,6212,252100
285,1454,252750,6212,252750
286,1462,253750,6212,253750
287,1464,254750,6212,254750
288,1466,255560,6212,255560
289,1474,256020,6212,256020
290,1476,256670,6212,256670
290,1476,257670,6212,257670
291,1478,258670,6212,258670
291,1478,259670,6212,259670
292,1486,259720,6212,259720
293,1488,260720,6212,260720
294,1490,261190,6212,261190
294,1490,261660,6212,261660
294,1490,262310,6212,262310
294,1490,263310,6212,263310
295,1498,263780,6212,263780
295,1498,264430,6212,264430
296,1500,265430,6212,265430
297,1502,266430,6212,266430
297,1502,267240,6212,267240
298,1510,268240,6212,268240
299,1512,269240,6212,269240
300,1514,270240,6212,270240
300,1514,271050,6212,271050
301,1516,271050,6212,271050
302,1524,272050,6212,272050
303,1526,272520,6212,272520
304,1528,273520,6212,273520
304,1528,274520,6212,274520
305,1536,274840,6212,274840
305,1536,275840,6212,275840
305,1536,276840,6212,276840
306,1544,277430,6212,277430
307,1552,278430,6212,278430
308,1560,279430,6212,279430
309,1564,280430,6212,280430
310,1566,281080,6212,281080
311,1574,282080,6212,282080
311,1574,283080,6212,283080
312,1576,284080,6212,284080
313,1584,285080,6212,285080
314,1586,286080,6212,286080
315,1594,286080,6212,286080
316,1596,286550,6212,286550
317,1598,287020,6212,287020
317,1598,287830,6212,287830
318,1606,288830,6212,288830
318,1606,289830,6212,289830
319,1614,290830,6212,290830
320,1616,291640,6212,291640
321,1618,292110,6212,292110
321,1618,292920,6212,292920
321,1618,293730,6212,293730
322,1619,294540,6212,294540
323,1627,295540,6212,295540
324,1635,296540,6212,296540
325,1637,297350,6212,297350
326,1645,298160,6212,298160
327,1653,298970,6212,298970
328,1655,299290,6212,299290
328,1655,299750,6212,299750
329,1657,300220,6212,300220
330,1665,308220,6212,308220
331,1673,308770,6212,308770
332,1681,309770,6212,309770
333,1683,310580,6212,310580
334,1691,311580,6212,311580
334,1691,311810,6212,311810
334,1691,312280,6212,312280
334,1691,312750,6212,312750
335,1693,313560,6212,313560
336,1695,314560,6212,314560
336,1695,315030,6212,315030
337,1703,316030,6212,316030
337,1703,317030,6212,317030
338,1705,318030,6212,318030
339,1713,319030,6212,319030
339,1713,320030,6212,320030
340,1721,320840,6212,320840
341,1729,321650,6212,321650
342,1737,322120,6212,322120
343,1745,323120,6212,323120
344,1753,323120,6212,323120
345,1755,324120,6212,324120
346,1763,332120,6212,332120
346,1763,333120,6212,333120
347,1765,333590,6212,333590
347,1765,334590,6212,334590
348,1773,335400,6212,335400
349,1775,336400,6212,336400
350,1783,336870,6212,336870
351,1791,337870,6212,337870
352,1799,338870,6212,338870
352,1799,339870,6212,339870
353,1807,340870,6212,340870
354,1809,341340,6212,341340
355,1811,342340,6212,342340
356,1813,342930,6212,342930
356,1813,343930,6212,343930
357,1821,344930,6212,344930
357,1821,345740,6212,345740
357,1821,346740,6212,346740
358,1823,347740,6212,347740
359,1825,348210,6212,348210
360,1827,349210,6212,349210
361,1835,357210,6212,357210
362,1843,358210,6212,358210
363,1845,358530,6212,358530
364,1853,359530,6212,359530
365,1861,360180,6212,360180
365,1861,360180,6212,360180
365,1861,361180,6212,361180
365,1861,361990,6212,361990
366,1869,362460,6212,362460
366,1869,362930,6212,362930
366,1869,363930,6212,363930
367,1877,364930,6212,364930
367,1877,365930,6212,365930
367,1877,365930,6212,365930
368,1879,366930,6212,366930
369,1887,367930,6212,367930
369,1887,368930,6212,368930
370,1889,369930,6212,369930
371,1897,370930,6212,370930
372,1899,371930,6212,371930
373,1907,372400,6212,372400
373,1907,372400,6212,372400
374,1909,373400,6212,373400
374,1909,373720,6212,373720
375,1917,374190,6212,374190
376,1925,375000,6212,375000
377,1933,376000,6212,376000
377,1933,376000,6212,376000
377,1933,376000,6212,376000
378,1935,377000,6212,377000
378,1935,378000,6212,378000
378,1935,379000,6212,379000
379,1943,380000,6212,380000
379,1943,381000,6212,381000
379,1943,382000,6212,382000
380,1951,383000,6212,383000
381,1955,383000,6212,383000
382,1957,383590,6212,383590
383,1959,384590,6212,384590
384,1961,384910,6212,384910
385,1969,385910,6212,385910
386,1977,386720,6212,386720
387,1985,387720,6212,387720
388,1993,388720,6212,388720
388,1993,389720,6212,389720
389,1995,389720,6212,389720
389,1995,389720,6212,389720
390,1997,390720,6212,390720
391,2005,391720,6212,391720
392,2007,392720,6212,392720
393,2009,392940,6212,392940
393,2009,393750,6212,393750
394,2017,394220,6212,394220
395,2025,395030,6212,395030
396,2029,396030,6212,396030
397,2031,396030,6212,396030
398,2033,397030,6212,397030
399,2041,398030,6212,398030
400,2049,398350,6212,398350
401,2057,398820,6212,398820
401,2057,399050,6212,399050
402,2065,399640,6212,399640
403,2073,400450,6212,400450
404,2075,401450,6212,401450
405,2083,402260,6212,402260
405,2083,402730,6212,402730
406,2085,403200,6212,403200
407,2093,403670,6212,403670
407,2093,404670,6212,404670
408,2095,405480,6212,405480
408,2095,405850,6212,405850
409,2103,406850,6212,406850
409,2103,407070,6212,407070
410,2111,408070,6212,408070
410,2111,408720,6212,408720
410,2111,408880,6212,408880
411,2119,409350,6212,409350
412,2121,410350,6212,410350
413,2129,411350,6212,411350
414,2133,411900,6212,411900
415,2141,412710,6212,412710
416,2143,413710,6212,413710
417,2147,414710,6212,414710
417,2147,415710,6212,415710
418,2155,416710,6212,416710
419,2163,417180,6212,417180
420,2171,417180,6212,417180
420,2171,417650,6212,417650
421,2179,418300,6212,418300
422,2187,418460,6212,418460
423,2195,419460,6212,419460
423,2195,420460,6212,420460
424,2203,421270,6212,421270
425,2211,422270,6212,422270
426,2213,422740,6212,422740
426,2213,423740,6212,423740
426,2213,424740,6212,424740
427,2215,425200,6212,425200
427,2215,425660,6212,425660
428,2223,426660,6212,426660
428,2223,426980,6212,426980
429,2231,427980,6212,427980
429,2231,428450,6212,428450
430,2239,429450,6212,429450
431,2241,430450,6212,430450
432,2249,431260,6212,431260
432,2249,432260,6212,432260
433,2257,433260,6212,433260
434,2259,433730,6212,433730
435,2261,434730,6212,434730
436,2263,435730,6212,435730
437,2271,436730,6212,436730
437,2271,437730,6212,437730
438,2273,438730,6212,438730
439,2281,446730,6212,446730
440,2282,447540,6212,447540
441,2284,448540,6212,448540
442,2286,449540,6212,449540
443,2288,450540,6212,450540
443,2288,451540,6212,451540
443,2288,452130,6212,452130
444,2290,452290,6212,452290
445,2298,453290,6212,453290
446,2300,454290,6212,454290
446,2300,458290,6212,458290
447,2308,459290,6212,459290
448,2310,459940,6212,459940
449,2318,460410,6212,460410
450,2326,460630,6212,460630
451,2334,461630,6212,461630
451,2334,462630,6212,462630
452,2336,462630,6212,462630
453,2344,463630,6212,463630
454,2352,464630,6212,464630
455,2354,464630,6212,464630
456,2356,465630,6212,465630
457,2358,466440,6212,466440
457,2358,467440,6212,467440
458,2366,468440,6212,468440
458,2366,468760,6212,468760
459,2368,469760,6212,469760
459,2368,470760,6212,470760
460,2370,471760,6212,471760
461,2378,472080,6212,472080
461,2378,472190,6212,472190
462,2386,473190,6212,473190
462,2386,474190,6212,474190
462,2386,474660,6212,474660
463,2388,474660,6212,474660
464,2396,475660,6212,475660
464,2396,476250,6212,476250
465,2404,477250,6212,477250
466,2406,477410,6212,477410
467,2414,477880,6212,477880
468,2422,478200,6212,478200
468,2422,478670,6212,478670
469,2430,479670,6212,479670
469,2430,480320,6212,480320
469,2430,481320,6212,481320
470,2438,481910,6212,481910
471,2440,482560,6212,482560
472,2448,482560,6212,482560
472,2448,483560,6212,483560
472,2448,484560,6212,484560
473,2456,485560,6212,485560
473,2456,486560,6212,486560
473,2456,487210,6212,487210
474,2464,488210,6212,488210
475,2468,489210,6212,489210
476,2470,490210,6212,490210
476,2470,491020,6212,491020
477,2474,492020,6212,492020
478,2482,492830,6212,492830
479,2490,493640,6212,493640
479,2490,494010,6212,494010
480,2498,494010,6212,494010
481,2500,494480,6212,494480
482,2508,495290,6212,495290
483,2510,496290,6212,496290
484,2518,497100,6212,497100
484,2518,497910,6212,497910
484,2518,498910,6212,498910
485,2520,499910,6212,499910
485,2520,500720,6212,500720
485,2520,500720,6212,500720
486,2528,501720,6212,501720
486,2528,501950,6212,501950
486,2528,502950,6212,502950
487,2536,503420,6212,503420
487,2536,504420,6212,504420
488,2538,505230,6212,505230
489,2546,506230,6212,506230
489,2546,506460,6212,506460
490,2554,507110,6212,507110
490,2554,508110,6212,508110
490,2554,509110,6212,509110
491,2556,510110,6212,510110
492,2564,510340,6212,510340
493,2566,510660,6212,510660
493,2566,511660,6212,511660
494,2568,512130,6212,512130
495,2570,512590,6212,512590
496,2572,512910,6212,512910
497,2574,513910,6212,513910
498,2576,514910,6212,514910
498,2576,515910,6212,515910
499,2578,517910,6212,517910
500,2586,525910,6212,525910
501,2588,526910,6212,526910
502,2590,527560,6212,527560
503,2598,528560,6212,528560
504,2606,529560,6212,529560
504,2606,530560,6212,530560
505,2608,531370,6212,531370
505,2608,531840,6212,531840
505,2608,532070,6212,532070
506,2609,533070,6212,533070
506,2609,534070,6212,534070
507,2617,534390,6212,534390
507,2617,534710,6212,534710
508,2625,535180,6212,535180
509,2633,536180,6212,536180
510,2635,536500,6212,536500
511,2637,537500,6212,537500
512,2645,538500,6212,538500
512,2645,538970,6212,538970
512,2645,539970,6212,539970
512,2645,540780,6212,540780
513,2647,541780,6212,541780
514,2655,542780,6212,542780
514,2655,543780,6212,543780
