ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
362959.35,5.94,0.76,174168.13,2.85
362907.63,5.94,0.76,174055.03,2.85
363278.35,5.94,0.77,174055.03,2.85
363226.62,5.94,0.77,174055.03,2.85
364577.39,5.97,0.79,175031.95,2.86
364714.21,5.97,0.8,175154.24,2.87
364662.49,5.97,0.8,175154.24,2.87
365033.21,5.98,0.8,175269.18,2.87
365411.9,5.98,0.81,175286.3,2.87
365360.17,5.98,0.81,175286.3,2.87
365308.45,5.98,0.81,175265.98,2.87
365256.72,5.98,0.81,175265.98,2.87
365393.55,5.99,0.81,175265.98,2.87
365341.82,5.99,0.81,175157.66,2.87
365290.1,5.99,0.81,175157.66,2.87
366640.86,6.01,0.84,176134.58,2.89
366777.69,6.01,0.84,176134.58,2.89
366725.97,6.01,0.84,176131.34,2.89
366674.24,6.01,0.84,176131.34,2.89
366811.07,6.01,0.84,176253.96,2.89
366759.34,6.01,0.84,176253.96,2.89
366707.62,6.01,0.84,176140.86,2.89
366655.89,6.01,0.84,176141.62,2.89
366604.17,6.01,0.84,176138.38,2.89
366552.45,6.02,0.84,176135.14,2.89
366500.72,6.02,0.84,176135.14,2.89
366449.0,6.02,0.84,176070.14,2.89
366585.82,6.02,0.85,176192.76,2.89
366585.82,6.02,0.85,176245.05,2.89
366956.54,6.02,0.85,176245.05,2.89
367281.91,6.03,0.86,176245.05,2.89
367230.18,6.03,0.86,176245.05,2.89
367178.46,6.03,0.86,176215.56,2.89
367126.73,6.03,0.86,176215.56,2.89
368112.5,6.05,0.88,176657.65,2.9
368112.5,6.05,0.88,176657.98,2.9
368249.32,6.05,0.88,177071.85,2.91
368197.6,6.05,0.88,177042.36,2.91
368470.0,6.06,0.88,177042.36,2.91
368340.0,6.05,0.88,176989.01,2.91
368665.36,6.06,0.89,176989.01,2.91
369036.08,6.07,0.89,177118.19,2.91
369172.91,6.07,0.9,177240.81,2.91
369543.62,6.08,0.9,177240.81,2.91
369680.45,6.08,0.91,177240.81,2.91
369817.28,6.08,0.91,177240.81,2.92
369765.55,6.08,0.91,177240.81,2.92
369713.83,6.08,0.91,177240.81,2.92
370084.54,6.09,0.92,177240.81,2.92
370032.82,6.09,0.92,177127.71,2.91
370032.82,6.09,0.92,177127.71,2.91
369981.1,6.09,0.92,177127.71,2.92
370117.92,6.09,0.92,177250.32,2.92
370254.75,6.1,0.92,177137.22,2.92
369688.04,6.09,0.92,176444.65,2.91
369636.32,6.09,0.92,176415.16,2.91
369636.32,6.09,0.92,176301.51,2.9
369773.15,6.09,0.92,176301.51,2.9
369721.42,6.09,0.92,176272.01,2.9
369858.25,6.09,0.92,176394.63,2.91
369806.52,6.09,0.92,176281.53,2.9
369943.35,6.1,0.92,176404.15,2.91
370432.89,6.11,0.93,176327.75,2.91
371250.13,6.12,0.95,176555.71,2.91
371386.95,6.12,0.95,176678.32,2.91
371335.23,6.12,0.95,176675.08,2.91
371283.5,6.12,0.95,176675.08,2.91
371231.78,6.12,0.95,176645.59,2.91
371368.61,6.13,0.95,176645.59,2.91
371316.88,6.13,0.95,176616.1,2.91
371453.71,6.13,0.96,176616.1,2.91
371401.98,6.13,0.96,176616.1,2.92
371674.39,6.14,0.96,176616.1,2.92
372045.11,6.14,0.97,176745.28,2.92
371993.38,6.14,0.97,176680.28,2.92
371941.66,6.14,0.97,176680.28,2.92
371889.93,6.14,0.97,176650.79,2.92
372040.61,6.15,0.97,176291.42,2.91
372177.44,6.15,0.98,176291.42,2.91
372314.26,6.15,0.98,176414.04,2.92
372262.54,6.15,0.98,176414.04,2.92
372210.81,6.15,0.98,176414.04,2.92
372581.53,6.16,0.99,176543.22,2.92
372529.81,6.16,0.99,176430.12,2.92
372478.08,6.16,0.99,176430.12,2.92
372426.36,6.16,0.99,176430.12,2.92
372374.64,6.16,0.99,176430.12,2.92
372322.91,6.16,0.99,176426.87,2.92
372693.63,6.17,0.99,176556.05,2.92
372693.63,6.17,0.99,176688.1,2.92
373213.86,6.18,1.0,176688.1,2.92
373486.26,6.18,1.01,176751.99,2.92
373939.64,6.19,1.02,176738.74,2.92
373887.91,6.19,1.02,176738.74,2.93
373887.91,6.19,1.02,176738.74,2.93
374266.6,6.2,1.02,176738.74,2.93
374214.88,6.2,1.02,176718.43,2.93
374683.5,6.2,1.03,176634.39,2.92
374631.78,6.2,1.03,176634.39,2.93
374580.06,6.2,1.03,176586.29,2.92
374528.33,6.2,1.03,176474.05,2.92
374665.16,6.21,1.04,176474.05,2.92
374613.43,6.21,1.04,176409.05,2.92
374750.26,6.21,1.04,176531.34,2.93
374698.53,6.21,1.04,176531.34,2.93
375069.25,6.22,1.05,176531.34,2.93
375017.53,6.22,1.05,176531.34,2.93
375388.25,6.22,1.05,176660.52,2.93
375336.52,6.22,1.05,176657.28,2.93
375608.93,6.23,1.06,176657.28,2.93
375557.2,6.23,1.06,176627.79,2.93
375694.03,6.23,1.06,176814.86,2.93
